dataset,query_id,regime,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certificate_false_positive
breast-cancer,0,broad,ExactSecure,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.3764369998862094,569,536,536,569,0,0,1,0
breast-cancer,0,broad,PostFilter-IVF,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.2127210000253399,186,176,186,186,0,8,0,0
breast-cancer,0,broad,AdaptivePostFilter-IVF,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,1.0576289998880384,569,536,569,569,0,18,0,0
breast-cancer,0,broad,TenantPartition-IVF,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.3306599999177706,186,176,186,186,0,8,0,0
breast-cancer,0,broad,PreFilter-IVF,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.989881000123205,213,202,202,213,8,8,0,0
breast-cancer,0,broad,PACER-A,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,1.1459070001365035,240,228,240,240,9,9,0,0
breast-cancer,0,broad,PACER-C,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,1.9850549999773648,569,536,569,569,18,18,1,0
breast-cancer,0,broad,PACER-X,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,1.7486809999809338,569,536,569,569,18,18,1,0
breast-cancer,0,broad,StaleNoRecheck,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.23420299999088456,186,186,186,186,0,8,0,0
breast-cancer,0,broad,NaiveNoPolicy,569,30,10,536,0.9420035149384886,10,1.0,1,none,0,0,0,0.0756760000513168,186,186,186,0,0,8,0,0
breast-cancer,1,medium,ExactSecure,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.34448599990355433,569,104,104,569,0,0,1,0
breast-cancer,1,medium,PostFilter-IVF,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.2699379999739904,240,58,240,240,0,8,0,0
breast-cancer,1,medium,AdaptivePostFilter-IVF,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.9908890001497639,569,104,569,569,0,18,0,0
breast-cancer,1,medium,TenantPartition-IVF,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.31265500001609325,240,58,240,240,0,8,0,0
breast-cancer,1,medium,PreFilter-IVF,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.524202000178775,244,83,83,244,8,7,0,0
breast-cancer,1,medium,PACER-A,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,1.1760069999127154,105,102,105,105,14,13,1,0
breast-cancer,1,medium,PACER-C,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,1.0535880001043552,105,102,105,105,14,13,1,0
breast-cancer,1,medium,PACER-X,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,1.0213860000476416,105,102,105,105,14,13,1,0
breast-cancer,1,medium,StaleNoRecheck,569,30,10,104,0.1827768014059754,10,1.0,1,none,0,0,0,0.22622599999522208,240,59,240,240,0,8,0,0
breast-cancer,1,medium,NaiveNoPolicy,569,30,10,104,0.1827768014059754,10,0.8,0,ranking_truncation,2,0,0,0.08865299992066866,240,240,240,0,0,8,0,0
breast-cancer,2,narrow,ExactSecure,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.3099230000316311,569,23,23,569,0,0,1,0
breast-cancer,2,narrow,PostFilter-IVF,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.22556799990525178,240,20,240,240,0,8,0,0
breast-cancer,2,narrow,AdaptivePostFilter-IVF,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.9832289999849309,569,23,569,569,0,18,0,0
breast-cancer,2,narrow,TenantPartition-IVF,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.3049300000839139,240,20,240,240,0,8,0,0
breast-cancer,2,narrow,PreFilter-IVF,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.3792840000187425,251,20,20,251,7,6,0,0
breast-cancer,2,narrow,PACER-A,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.6466710001404863,29,23,29,29,12,9,1,0
breast-cancer,2,narrow,PACER-C,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.6258490000163874,29,23,29,29,12,9,1,0
breast-cancer,2,narrow,PACER-X,569,30,10,23,0.040421792618629174,10,1.0,1,none,0,0,0,0.6233919998521742,29,23,29,29,12,9,1,0
breast-cancer,2,narrow,StaleNoRecheck,569,30,10,23,0.040421792618629174,10,0.9,0,ranking_truncation,0,1,0,0.23241299982146302,240,24,240,240,0,8,0,0
breast-cancer,2,narrow,NaiveNoPolicy,569,30,10,23,0.040421792618629174,10,0.3,0,ranking_truncation,7,1,0,0.10452499986968178,240,240,240,0,0,8,0,0
breast-cancer,3,cold,ExactSecure,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.30889200002093276,569,22,22,569,0,0,1,0
breast-cancer,3,cold,PostFilter-IVF,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.25809800013121276,240,20,240,240,0,8,0,0
breast-cancer,3,cold,AdaptivePostFilter-IVF,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.9834129998580465,569,22,569,569,0,18,0,0
breast-cancer,3,cold,TenantPartition-IVF,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.29042199980722216,240,20,240,240,0,8,0,0
breast-cancer,3,cold,PreFilter-IVF,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.34236600004078355,170,22,22,170,18,6,0,0
breast-cancer,3,cold,PACER-A,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.5443940001441661,22,22,22,22,9,6,1,0
breast-cancer,3,cold,PACER-C,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.650530000029903,22,22,22,22,9,6,1,0
breast-cancer,3,cold,PACER-X,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.4959069999586063,22,22,22,22,9,6,1,0
breast-cancer,3,cold,StaleNoRecheck,569,30,10,22,0.03866432337434095,10,1.0,1,none,0,0,0,0.22032300012142514,240,20,240,240,0,8,0,0
breast-cancer,3,cold,NaiveNoPolicy,569,30,10,22,0.03866432337434095,10,0.2,0,ranking_truncation,8,2,0,0.11568000013539859,240,240,240,0,0,8,0,0
breast-cancer,4,broad,ExactSecure,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,0.6252069999845844,569,531,531,569,0,0,1,0
breast-cancer,4,broad,PostFilter-IVF,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,0.25690100005704153,217,200,217,217,0,8,0,0
breast-cancer,4,broad,AdaptivePostFilter-IVF,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,1.3248590000785043,569,531,569,569,0,18,0,0
breast-cancer,4,broad,TenantPartition-IVF,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,0.24427399989690457,217,200,217,217,0,8,0,0
breast-cancer,4,broad,PreFilter-IVF,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,1.1355889998867497,217,200,200,217,8,8,0,0
breast-cancer,4,broad,PACER-A,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,1.1572920000162412,240,223,240,240,10,10,0,0
breast-cancer,4,broad,PACER-C,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,1.4212190001217095,457,424,457,457,14,14,1,0
breast-cancer,4,broad,PACER-X,569,30,10,531,0.9332161687170475,10,1.0,1,none,0,0,0,1.6932649998580018,457,424,457,457,14,14,1,0
breast-cancer,4,broad,StaleNoRecheck,569,30,10,531,0.9332161687170475,10,0.9,0,ranking_truncation,0,1,0,0.25489300014669425,217,217,217,217,0,8,0,0
breast-cancer,4,broad,NaiveNoPolicy,569,30,10,531,0.9332161687170475,10,0.9,0,ranking_truncation,0,1,0,0.08134400013659615,217,217,217,0,0,8,0,0
breast-cancer,5,medium,ExactSecure,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,0.4487920000428858,569,115,115,569,0,0,1,0
breast-cancer,5,medium,PostFilter-IVF,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,0.3616340000007767,235,28,235,235,0,8,0,0
breast-cancer,5,medium,AdaptivePostFilter-IVF,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,1.576870000008057,569,115,569,569,0,18,0,0
breast-cancer,5,medium,TenantPartition-IVF,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,0.32530600014979427,235,28,235,235,0,8,0,0
breast-cancer,5,medium,PreFilter-IVF,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,0.668182000026718,214,33,33,214,9,8,0,0
breast-cancer,5,medium,PACER-A,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,1.6135870000653085,123,109,123,123,17,16,1,0
breast-cancer,5,medium,PACER-C,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,1.5128320001167594,123,109,123,123,17,16,1,0
breast-cancer,5,medium,PACER-X,569,30,10,115,0.20210896309314588,10,1.0,1,none,0,0,0,1.3319270001375116,123,109,123,123,17,16,1,0
breast-cancer,5,medium,StaleNoRecheck,569,30,10,115,0.20210896309314588,10,0.8,0,ranking_truncation,0,2,0,0.2182649998303532,235,32,235,235,0,8,0,0
breast-cancer,5,medium,NaiveNoPolicy,569,30,10,115,0.20210896309314588,10,0.4,0,ranking_truncation,6,1,0,0.14386299994839646,235,235,235,0,0,8,0,0
breast-cancer,6,narrow,ExactSecure,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,0.31333100014308,569,10,10,569,0,0,1,0
breast-cancer,6,narrow,PostFilter-IVF,569,30,10,10,0.01757469244288225,8,0.8,0,candidate_starvation,0,0,0,0.26959500019074767,240,8,240,240,0,8,0,0
breast-cancer,6,narrow,AdaptivePostFilter-IVF,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,1.11610799990558,569,10,569,569,0,18,0,0
breast-cancer,6,narrow,TenantPartition-IVF,569,30,10,10,0.01757469244288225,8,0.8,0,candidate_starvation,0,0,0,0.3042520002054516,240,8,240,240,0,8,0,0
breast-cancer,6,narrow,PreFilter-IVF,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,0.4318930000408727,152,10,10,152,18,4,0,0
breast-cancer,6,narrow,PACER-A,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,0.38092199997663556,11,10,11,11,8,4,1,0
breast-cancer,6,narrow,PACER-C,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,0.32615999998597545,11,10,11,11,8,4,1,0
breast-cancer,6,narrow,PACER-X,569,30,10,10,0.01757469244288225,10,1.0,1,none,0,0,0,0.3309520000129851,11,10,11,11,8,4,1,0
breast-cancer,6,narrow,StaleNoRecheck,569,30,10,10,0.01757469244288225,9,0.8,0,candidate_starvation,0,1,0,0.23171099996943667,240,9,240,240,0,8,0,0
breast-cancer,6,narrow,NaiveNoPolicy,569,30,10,10,0.01757469244288225,10,0.2,0,ranking_truncation,8,0,0,0.13871199985260318,240,240,240,0,0,8,0,0
breast-cancer,7,cold,ExactSecure,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.380795999944894,569,6,6,569,0,0,1,0
breast-cancer,7,cold,PostFilter-IVF,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.3052249999200285,240,6,240,240,0,8,0,0
breast-cancer,7,cold,AdaptivePostFilter-IVF,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.9678740000254038,569,6,569,569,0,18,0,0
breast-cancer,7,cold,TenantPartition-IVF,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.2820439999595692,240,6,240,240,0,8,0,0
breast-cancer,7,cold,PreFilter-IVF,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.14734199999111297,35,6,6,35,18,1,0,0
breast-cancer,7,cold,PACER-A,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.10973500002364744,7,6,7,7,1,1,1,0
breast-cancer,7,cold,PACER-C,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.09644400006436626,7,6,7,7,1,1,1,0
breast-cancer,7,cold,PACER-X,569,30,10,6,0.01054481546572935,6,1.0,1,none,0,0,0,0.12659399999392917,7,6,7,7,1,1,1,0
breast-cancer,7,cold,StaleNoRecheck,569,30,10,6,0.01054481546572935,7,1.0,0,ranking_truncation,0,1,0,0.24397099991801952,240,7,240,240,0,8,0,0
breast-cancer,7,cold,NaiveNoPolicy,569,30,10,6,0.01054481546572935,10,0.5,0,ranking_truncation,6,1,1,0.10899600010816357,240,240,240,0,0,8,0,0
breast-cancer,8,broad,ExactSecure,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.45090899993738276,569,526,526,569,0,0,1,0
breast-cancer,8,broad,PostFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.2424289998543827,240,229,240,240,0,8,0,0
breast-cancer,8,broad,AdaptivePostFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.0424919998968107,569,526,569,569,0,18,0,0
breast-cancer,8,broad,TenantPartition-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.26435700010551955,240,229,240,240,0,8,0,0
breast-cancer,8,broad,PreFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.8895960002064385,251,236,236,251,6,6,0,0
breast-cancer,8,broad,PACER-A,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.8555859999432869,240,226,240,240,6,6,0,0
breast-cancer,8,broad,PACER-C,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.7836020001595898,526,488,526,526,16,16,1,0
breast-cancer,8,broad,PACER-X,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.6791870000361087,526,488,526,526,16,16,1,0
breast-cancer,8,broad,StaleNoRecheck,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.3168299999742885,240,240,240,240,0,8,0,0
breast-cancer,8,broad,NaiveNoPolicy,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.09309600000051432,240,240,240,0,0,8,0,0
breast-cancer,9,medium,ExactSecure,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,0.4298560002098384,569,108,108,569,0,0,1,0
breast-cancer,9,medium,PostFilter-IVF,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,0.2435850001347717,240,72,240,240,0,8,0,0
breast-cancer,9,medium,AdaptivePostFilter-IVF,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,0.9880120001071191,569,108,569,569,0,18,0,0
breast-cancer,9,medium,TenantPartition-IVF,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,0.26525099997343204,240,72,240,240,0,8,0,0
breast-cancer,9,medium,PreFilter-IVF,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,0.5642099999931816,253,76,76,253,9,8,0,0
breast-cancer,9,medium,PACER-A,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,1.1813749999873835,102,94,102,102,16,14,1,0
breast-cancer,9,medium,PACER-C,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,1.0821690000284434,102,94,102,102,16,14,1,0
breast-cancer,9,medium,PACER-X,569,30,10,108,0.18980667838312829,10,1.0,1,none,0,0,0,1.1813020000772667,102,94,102,102,16,14,1,0
breast-cancer,9,medium,StaleNoRecheck,569,30,10,108,0.18980667838312829,10,0.9,0,ranking_truncation,0,1,0,0.23552200013909896,240,77,240,240,0,8,0,0
breast-cancer,9,medium,NaiveNoPolicy,569,30,10,108,0.18980667838312829,10,0.5,0,ranking_truncation,5,1,0,0.1068949998170865,240,240,240,0,0,8,0,0
breast-cancer,10,narrow,ExactSecure,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.3382949998922413,569,5,5,569,0,0,1,0
breast-cancer,10,narrow,PostFilter-IVF,569,30,10,5,0.008787346221441126,4,0.8,0,candidate_starvation,0,0,0,0.2826519998961885,239,4,239,239,0,8,0,0
breast-cancer,10,narrow,AdaptivePostFilter-IVF,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.9355479999157978,569,5,569,569,0,18,0,0
breast-cancer,10,narrow,TenantPartition-IVF,569,30,10,5,0.008787346221441126,4,0.8,0,candidate_starvation,0,0,0,0.2502800000456773,239,4,239,239,0,8,0,0
breast-cancer,10,narrow,PreFilter-IVF,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.40997299993250635,222,5,5,222,18,5,0,0
breast-cancer,10,narrow,PACER-A,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.4329569999299565,6,5,6,6,12,5,1,0
breast-cancer,10,narrow,PACER-C,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.45942700012346904,6,5,6,6,12,5,1,0
breast-cancer,10,narrow,PACER-X,569,30,10,5,0.008787346221441126,5,1.0,1,none,0,0,0,0.3386810001302365,6,5,6,6,12,5,1,0
breast-cancer,10,narrow,StaleNoRecheck,569,30,10,5,0.008787346221441126,5,0.8,0,ranking_truncation,0,1,0,0.1944659998116549,239,5,239,239,0,8,0,0
breast-cancer,10,narrow,NaiveNoPolicy,569,30,10,5,0.008787346221441126,10,0.2,0,ranking_truncation,9,0,0,0.07906900009402307,239,239,239,0,0,8,0,0
breast-cancer,11,cold,ExactSecure,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.3328399998281384,569,11,11,569,0,0,1,0
breast-cancer,11,cold,PostFilter-IVF,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.22638700011157198,240,11,240,240,0,8,0,0
breast-cancer,11,cold,AdaptivePostFilter-IVF,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.9446439999010181,569,11,569,569,0,18,0,0
breast-cancer,11,cold,TenantPartition-IVF,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.3245610000703891,240,11,240,240,0,8,0,0
breast-cancer,11,cold,PreFilter-IVF,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.35840300006384496,150,11,11,150,18,5,0,0
breast-cancer,11,cold,PACER-A,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.384502000088105,13,11,13,13,9,5,1,0
breast-cancer,11,cold,PACER-C,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.41554300014468026,13,11,13,13,9,5,1,0
breast-cancer,11,cold,PACER-X,569,30,10,11,0.019332161687170474,10,1.0,1,none,0,0,0,0.46579399986512726,13,11,13,13,9,5,1,0
breast-cancer,11,cold,StaleNoRecheck,569,30,10,11,0.019332161687170474,10,0.9,0,ranking_truncation,0,1,0,0.26683800001592317,240,12,240,240,0,8,0,0
breast-cancer,11,cold,NaiveNoPolicy,569,30,10,11,0.019332161687170474,10,0.1,0,ranking_truncation,9,2,0,0.08981700011645444,240,240,240,0,0,8,0,0
breast-cancer,12,broad,ExactSecure,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.36964000014449994,569,526,526,569,0,0,1,0
breast-cancer,12,broad,PostFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.2780719999009307,240,224,240,240,0,8,0,0
breast-cancer,12,broad,AdaptivePostFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.0362879997956043,569,526,569,569,0,18,0,0
breast-cancer,12,broad,TenantPartition-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.26487199988878274,240,224,240,240,0,8,0,0
breast-cancer,12,broad,PreFilter-IVF,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.9650229999351723,251,235,235,251,6,6,0,0
breast-cancer,12,broad,PACER-A,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,0.7258849998379446,240,225,240,240,6,6,0,0
breast-cancer,12,broad,PACER-C,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.1598769999636716,407,378,407,407,11,11,1,0
breast-cancer,12,broad,PACER-X,569,30,10,526,0.9244288224956063,10,1.0,1,none,0,0,0,1.15147400015303,407,378,407,407,11,11,1,0
breast-cancer,12,broad,StaleNoRecheck,569,30,10,526,0.9244288224956063,10,0.9,0,ranking_truncation,0,1,0,0.24411300000792835,240,240,240,240,0,8,0,0
breast-cancer,12,broad,NaiveNoPolicy,569,30,10,526,0.9244288224956063,10,0.9,0,ranking_truncation,0,1,0,0.08561000004192465,240,240,240,0,0,8,0,0
breast-cancer,13,medium,ExactSecure,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.34374400001979666,569,119,119,569,0,0,1,0
breast-cancer,13,medium,PostFilter-IVF,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.2658979999523581,240,66,240,240,0,8,0,0
breast-cancer,13,medium,AdaptivePostFilter-IVF,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.9000990000913589,569,119,569,569,0,18,0,0
breast-cancer,13,medium,TenantPartition-IVF,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.26032999994640704,240,66,240,240,0,8,0,0
breast-cancer,13,medium,PreFilter-IVF,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.48255199999402976,255,63,63,255,6,6,0,0
breast-cancer,13,medium,PACER-A,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,1.2005179999050597,130,117,130,130,16,15,1,0
breast-cancer,13,medium,PACER-C,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,1.2728470001093228,130,117,130,130,16,15,1,0
breast-cancer,13,medium,PACER-X,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,1.3383850000536768,130,117,130,130,16,15,1,0
breast-cancer,13,medium,StaleNoRecheck,569,30,10,119,0.20913884007029876,10,1.0,1,none,0,0,0,0.23089199999049015,240,72,240,240,0,8,0,0
breast-cancer,13,medium,NaiveNoPolicy,569,30,10,119,0.20913884007029876,10,0.5,0,ranking_truncation,5,0,0,0.08826600014799624,240,240,240,0,0,8,0,0
breast-cancer,14,narrow,ExactSecure,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,0.36854699987998174,569,25,25,569,0,0,1,0
breast-cancer,14,narrow,PostFilter-IVF,569,30,10,25,0.043936731107205626,10,0.8,0,ranking_truncation,0,0,0,0.2035290001458634,217,15,217,217,0,8,0,0
breast-cancer,14,narrow,AdaptivePostFilter-IVF,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,1.0390380000444566,569,25,569,569,0,18,0,0
breast-cancer,14,narrow,TenantPartition-IVF,569,30,10,25,0.043936731107205626,10,0.8,0,ranking_truncation,0,0,0,0.20882800004073943,217,15,217,217,0,8,0,0
breast-cancer,14,narrow,PreFilter-IVF,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,0.545775000091453,238,25,25,238,14,8,0,0
breast-cancer,14,narrow,PACER-A,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,0.5948389998593484,29,25,29,29,16,9,1,0
breast-cancer,14,narrow,PACER-C,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,0.5699710000044433,29,25,29,29,16,9,1,0
breast-cancer,14,narrow,PACER-X,569,30,10,25,0.043936731107205626,10,1.0,1,none,0,0,0,0.570159999824682,29,25,29,29,16,9,1,0
